X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
EPS8_EPS8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EPS8L1_ES8L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
EPS8L2_ES8L2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ERO1A_ERO1A	0	3	3	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	1	2	2	0	3	0	0	0	0
ERP29_ERP29	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1
ESD_ESTD	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
EWSR1_EWS	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
EZR_EZRI	26	13	24	15	20	10	15	10	12	11	31	7	14	10	18	16	20	13	22	13	23	5	31	14	10	7	18	10
F3_TF	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
FABP5_FABP5	2	0	4	0	2	0	0	0	0	0	5	0	0	0	5	1	0	0	2	0	3	0	2	0	0	0	0	0
FAM129B_NIBL1	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	0
FAM3C_FAM3C	3	2	1	1	1	1	0	4	2	0	2	0	1	1	1	3	1	2	3	1	0	1	2	2	0	0	2	0
FAM3D_FAM3D	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
FANCD2_FACD2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASN_FAS	2	2	0	0	0	0	0	0	0	3	0	1	0	3	0	3	0	2	0	2	0	0	0	2	0	7	0	1
FBP1_F16P1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
FCGBP_FCGBP	35	121	16	145	13	116	2	112	8	95	15	35	1	106	15	141	13	115	36	129	7	62	8	113	9	64	19	123
FETUB_FETUB	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1
FKBP1A_FKB1A	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FLNA_FLNA	6	3	3	0	0	0	5	7	0	1	6	0	0	1	0	6	0	7	0	1	0	0	0	0	9	5	0	0
FLNB_FLNB	10	7	4	6	1	1	4	5	1	6	14	1	1	1	6	13	6	10	6	7	6	4	1	4	5	2	2	2
FN1_FINC	55	16	40	2	28	11	32	7	20	10	36	7	21	3	27	22	37	5	22	1	6	0	9	9	33	14	2	3
FSCN1_FSCN1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
FST_FST	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FSTL1_FSTL1	2	0	2	0	1	0	0	0	0	0	2	1	0	2	0	4	3	0	2	1	0	0	0	0	1	0	0	0
FTH1_FRIH	0	0	0	0	1	0	0	0	2	1	4	0	2	0	1	1	0	0	2	1	1	0	0	0	2	1	1	1
FTL_FRIL	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0
FUBP1_FUBP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	1
FUCA1_FUCO	0	0	0	0	1	0	0	2	0	1	1	0	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	0
FUT3_FUT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	2	1	0	0	0	0	0	0	0	1
GAA_LYAG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GANAB_GANAB	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0
GAPDH_G3P	12	13	15	10	11	8	10	9	6	8	16	2	9	11	10	14	11	14	9	9	13	5	11	10	4	8	5	6
GDA_GUAD	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0
GDF15_GDF15	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDI1_GDIA	0	0	0	0	0	2	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GDI2_GDIB	5	3	3	1	3	0	2	2	3	2	3	0	2	0	6	5	3	3	5	3	4	3	3	1	2	3	2	3
GGCT_GGCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
GGH_GGH	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
GLG1_GSLG1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
GLIPR2_GAPR1	1	0	2	0	1	0	1	0	2	0	2	0	1	1	3	1	2	1	2	1	1	1	1	1	0	0	1	1
GLO1_LGUL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
GLOD4_GLOD4	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	2	0	0	1	1	1	1	3	0	0	0	1	1
GLUD1_DHE3	0	2	2	0	0	0	0	0	0	0	2	0	0	0	5	4	0	0	0	1	2	0	0	0	0	0	1	1
GMPPB_GMPPB	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GNA11_GNA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0
GNAI2_GNAI2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	1	0
GNAS_GNAS1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
GNAS_GNAS2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GNB1_GBB1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	0	0	0	2	0	0	0	1	0
GNB2_GBB2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	3	0	0	0	2	0	5	0	0	0	0	0
GNG12_GBG12	1	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	1	0	1	1	2	0	0	0	0	0
GOLM1_GOLM1	3	0	2	0	1	0	0	0	1	0	2	0	2	1	2	2	0	0	1	0	2	0	0	0	0	0	2	0
GOT1_AATC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	3	0	0	0	0	0	0
GOT2_AATM	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
GPI_G6PI	3	4	6	5	4	3	2	0	0	2	4	2	0	5	3	8	4	4	4	1	1	3	1	5	0	0	1	2
GPRC5A_RAI3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	0
GPRC5C_GPC5C	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	0	0	1	0
GPX1_GPX1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
GRN_GRN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GSN_GELS	23	27	21	33	20	32	15	32	20	26	22	12	17	31	20	36	19	44	24	28	18	21	22	34	15	16	19	34
GSR_GSHR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	1	0	0	0	0	0	0	0
GSS_GSHB	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	1	0
GSTA1_GSTA1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	4	1	0	0	1	0	3	0	0	0	0	0	0	0
GSTA3_GSTA3	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTK1_GSTK1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GSTO1_GSTO1	2	2	2	2	1	0	0	0	0	0	2	0	2	0	2	1	2	0	1	0	2	0	1	2	2	2	0	0
GSTP1_GSTP1	16	13	12	10	15	9	13	9	14	11	20	0	12	11	16	14	13	9	17	11	13	0	16	15	6	9	11	11
H1F0_H10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0
H2AFV_H2AV	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
H2AFY_H2AY	2	0	1	0	0	0	5	0	0	0	4	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
H3F3A_H33	2	2	3	3	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	0	1	0	0
H3F3C_H3C	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
HADH_HCDH	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
HADHB_ECHB	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
HDGF_HDGF	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
HEBP2_HEBP2	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	1	0	0	2	0	0	0	0	0	0
HEXA_HEXA	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0
HEXB_HEXB	3	4	0	0	0	1	0	2	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	2	0	0
HIST1H1B_H15	0	0	3	0	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	1	3	1	0	1	0	0	0	1
HIST1H1C_H12	2	0	5	0	0	0	3	0	0	0	4	0	0	0	2	0	1	0	0	0	4	3	1	1	0	0	0	0
HIST1H1T_H1T	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1
HIST1H2AB_H2A1B	0	0	0	0	2	2	0	0	2	2	5	0	2	1	3	3	0	0	1	2	0	0	0	0	0	0	2	2
HIST1H2AD_H2A1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AH_H2A1H	3	0	1	0	0	0	4	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	2	0	2	2	0	0
HIST1H2BB_H2B1B	0	0	0	0	5	4	0	0	4	3	0	0	2	2	0	4	0	0	3	1	0	0	0	0	0	0	5	3
HIST1H2BH_H2B1H	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0
HIST1H2BK_H2B1K	0	5	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	5	0	0	0
HIST1H2BO_H2B1O	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
HIST1H3A_H31	0	0	0	0	0	0	6	0	0	0	4	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H4A_H4	6	3	7	4	4	4	7	3	3	2	10	1	4	6	11	7	3	5	5	6	9	3	4	6	3	5	7	7
HIST2H2BF_H2B2F	0	0	5	0	0	0	0	3	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
HIST3H3_H31T	0	0	0	0	2	0	0	0	2	0	0	0	2	2	4	0	0	0	0	3	0	0	0	0	0	0	2	2
HLA-A_1A24	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGA1_HMGA1	2	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	2	1	1	0	0	0	0
HMGB1_HMGB1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HMGB3_HMGB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
HNRNPA1_ROA1	1	2	3	0	1	0	1	0	0	0	2	1	2	0	0	2	1	1	1	0	1	1	0	2	0	0	1	0
HNRNPA2B1_ROA2	3	4	3	2	1	1	2	0	0	0	5	1	0	0	3	2	0	2	0	1	3	1	0	3	0	0	1	1
HNRNPA3_ROA3	1	1	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0
HNRNPAB_ROAA	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0
HNRNPC_HNRPC	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HNRNPD_HNRPD	2	2	0	2	0	0	0	0	0	1	3	0	1	1	1	2	0	3	1	1	2	0	1	2	0	0	0	0
HNRNPH1_HNRH1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPH3_HNRH3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPK_HNRPK	2	2	1	0	1	0	0	0	0	0	4	1	1	1	2	3	0	0	2	1	3	3	1	3	0	0	1	2
HNRNPM_HNRPM	0	0	3	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
HNRNPU_HNRPU	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
HSP90AA1_HS90A	18	12	18	17	10	5	11	10	4	9	22	2	8	6	13	12	10	13	17	16	18	5	9	13	7	11	8	5
HSP90AB1_HS90B	13	9	14	12	7	3	10	7	0	6	18	0	6	5	8	10	8	13	11	11	14	5	6	11	9	8	5	6
HSP90B1_ENPL	3	2	7	5	1	0	7	0	1	0	9	0	0	4	2	5	0	5	0	5	6	2	0	3	0	2	0	7
HSPA1A_HS71A	16	11	14	10	8	6	11	7	4	7	16	3	6	10	13	13	8	12	9	10	13	6	15	9	4	3	4	8
HSPA1L_HS71L	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
HSPA5_GRP78	7	3	10	6	4	7	12	4	4	10	16	0	8	11	10	13	3	11	8	10	11	2	5	6	2	3	5	15
HSPA6_HSP76	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0
HSPA8_HSP7C	19	9	13	15	8	7	14	10	5	8	24	2	8	7	15	11	13	15	14	9	17	7	14	16	8	14	5	7
HSPA9_GRP75	1	3	2	1	0	0	3	0	0	0	6	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0
HSPB1_HSPB1	8	7	7	5	9	5	6	4	3	6	12	2	5	6	8	9	6	7	9	7	8	2	5	8	5	4	4	5
HSPD1_CH60	2	3	10	6	0	0	5	0	0	0	8	0	0	1	5	3	0	1	0	1	10	3	0	2	0	0	0	1
HSPE1_CH10	1	1	1	1	2	2	3	1	1	2	4	0	2	1	3	1	1	1	2	1	4	2	1	3	0	0	0	1
HSPG2_PGBM	3	5	2	0	0	4	0	1	0	11	3	3	0	4	5	15	0	0	0	4	3	1	4	5	12	6	0	0
HSPH1_HS105	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
ICAM1_ICAM1	5	2	0	0	1	1	0	0	1	1	5	0	0	1	1	2	3	0	4	0	0	1	0	2	5	0	0	0
IDH1_IDHC	6	6	3	3	3	7	0	2	1	4	4	0	5	4	7	8	4	5	5	7	6	5	4	4	0	0	4	8
IDH2_IDHP	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
IGFBP2_IBP2	7	3	13	6	9	3	0	2	5	4	10	0	5	3	8	7	7	3	8	5	11	4	10	2	0	0	6	3
IGFBP3_IBP3	1	1	1	0	1	2	0	0	0	1	1	0	1	2	1	3	0	0	2	2	1	0	2	1	0	0	2	0
IGFBP7_IBP7	9	3	6	0	6	3	2	1	1	2	9	2	3	3	5	3	4	3	6	3	5	2	5	4	4	0	3	1
ILF2_ILF2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
IQGAP1_IQGA1	2	2	4	2	2	0	0	0	0	0	3	0	0	2	7	6	0	3	2	2	0	0	2	0	0	0	1	2
ITLN1_ITLN1	0	7	0	8	0	0	0	9	0	0	0	0	0	14	0	12	0	8	0	10	0	6	0	7	0	4	0	12
ITLN2_ITLN2	0	2	0	0	0	0	0	3	0	0	0	0	0	3	0	3	0	3	0	3	0	0	0	3	0	0	0	3
JPT2_JUPI2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0
JUP_PLAK	1	1	2	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0
KLK10_KLK10	4	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	2	0	1	4	0	0	0	0	0	0
KLK11_KLK11	4	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	2	0	4	0	3	0	0	0	0	0	2	0
KLK13_KLK13	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
KPNB1_IMB1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1
KRT1_K2C1	24	1	2	0	0	2	0	0	10	3	0	0	14	5	3	24	3	1	7	2	3	2	2	0	1	0	4	0
KRT10_K1C10	22	0	6	0	0	0	0	0	7	1	0	0	12	4	8	22	0	0	3	3	0	3	0	0	0	0	5	0
KRT13_K1C13	0	0	9	0	0	0	0	0	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT14_K1C14	13	0	13	9	8	5	9	0	0	0	0	0	0	0	12	17	3	6	0	0	7	5	0	4	0	0	0	0
KRT16_K1C16	0	7	0	0	0	7	0	0	0	0	5	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0
KRT17_K1C17	16	14	22	16	10	10	19	2	4	6	33	1	10	12	16	18	5	11	5	13	13	10	3	8	3	0	7	7
KRT18_K1C18	4	5	5	4	3	0	5	0	0	0	8	0	0	0	3	3	0	2	0	0	3	1	0	2	0	0	0	2
KRT19_K1C19	29	29	34	29	23	21	36	12	13	18	46	6	13	20	30	32	11	20	16	23	29	17	11	18	5	10	19	22
KRT2_K22E	14	0	6	0	0	0	0	0	0	0	0	0	0	0	5	13	2	0	0	4	6	0	5	0	0	0	5	0
KRT25_K1C25	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KRT4_K2C4	8	2	12	4	0	3	10	0	3	3	7	0	0	0	10	4	2	2	0	0	8	2	2	4	0	0	5	3
KRT5_K2C5	20	14	26	16	13	9	21	5	7	8	43	2	12	7	20	22	7	10	9	9	27	9	5	9	3	3	10	7
KRT6A_K2C6A	21	16	23	25	17	16	25	10	8	8	39	0	0	9	17	25	7	11	11	12	19	12	10	12	0	0	13	12
KRT6B_K2C6B	0	0	0	0	0	0	0	0	8	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT7_K2C7	14	16	18	12	5	4	19	7	6	6	23	0	10	1	14	13	6	10	8	11	12	4	0	9	4	5	8	5
KRT73_K2C73	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
KRT75_K2C75	0	0	0	0	5	5	0	0	0	0	0	0	5	3	0	9	0	0	0	0	0	0	0	0	0	0	5	5
KRT79_K2C79	0	0	0	0	3	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KRT8_K2C8	15	17	20	13	8	3	17	8	1	0	25	6	0	3	9	6	7	7	4	8	22	7	5	8	2	6	3	4
KRT9_K1C9	10	0	2	0	0	1	0	0	4	0	1	0	5	2	2	17	0	2	3	0	1	5	0	0	1	0	2	0
LAMA3_LAMA3	8	4	9	0	4	6	0	2	1	13	0	2	0	2	5	11	0	0	2	2	0	1	6	4	0	0	0	1
LAMB3_LAMB3	8	10	14	5	3	14	0	4	1	16	2	3	1	8	7	17	0	0	4	7	0	0	5	4	2	4	1	0
LAMC2_LAMC2	13	9	18	8	4	9	1	5	2	14	5	7	1	4	6	16	6	4	7	5	5	6	12	8	2	3	2	3
LAMP1_LAMP1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	0
LAP3_AMPL	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
LCN2_NGAL	11	9	12	11	12	8	9	11	10	9	13	0	12	10	14	11	10	8	12	9	13	1	10	7	13	9	13	9
LDHA_LDHA	6	5	4	6	4	5	3	3	5	3	9	1	5	6	6	6	7	8	6	5	7	3	7	2	3	4	6	4
LDHB_LDHB	9	5	8	3	5	4	2	3	6	4	8	0	4	3	7	4	6	7	4	3	5	3	6	3	3	2	7	5
LGALS1_LEG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
LGALS3_LEG3	6	5	6	8	5	3	4	5	2	3	8	2	1	1	7	7	6	6	4	5	7	6	7	5	0	3	3	5
LGALS3BP_LG3BP	20	8	15	8	13	8	14	9	16	7	17	3	10	9	19	13	13	7	20	7	17	4	19	5	11	6	11	7
LGALS7_LEG7	2	5	0	3	2	3	1	2	1	6	2	0	0	2	2	5	2	6	1	4	1	1	0	3	2	2	0	3
LMNA_LMNA	5	8	8	11	4	0	8	3	4	3	10	2	4	5	8	8	3	9	4	7	14	15	5	8	0	0	5	5
LRG1_A2GL	1	0	2	0	3	1	0	1	1	0	5	0	1	0	3	3	1	0	3	0	6	0	6	0	0	0	1	0
LSR_LSR	2	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0
LTA4H_LKHA4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	2	0	0	1	0	0	0	1	0	0
LTF_TRFL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	20	0	0	0	0	0	0	0	25	0
LXN_LXN	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
LY6D_LY6D	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYN_LYN	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0
LYPD2_LYPD2	2	1	1	0	1	1	2	0	1	1	2	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1
LYPD3_LYPD3	0	0	0	0	0	3	0	0	0	4	0	0	0	1	1	4	0	0	0	1	0	0	0	0	0	0	0	0
LYZ_LYSC	2	7	3	4	2	4	0	7	1	4	0	1	2	6	1	6	2	6	4	6	2	5	1	7	0	2	2	5
MAOA_AOFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1
MAPRE1_MARE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
MARCKS_MARCS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
MDH1_MDHC	2	1	2	0	1	0	0	0	1	0	2	0	0	0	3	2	0	0	2	1	3	1	2	2	0	0	1	0
MDH2_MDHM	3	5	7	3	0	1	3	0	0	2	7	0	1	2	5	3	0	0	0	1	7	2	0	3	0	0	1	1
MDK_MK	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
ME1_MAOX	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MIF_MIF	2	1	1	2	3	2	2	1	2	2	3	0	2	2	2	3	2	2	3	2	2	0	2	2	2	2	2	2
MMP1_MMP1	0	0	3	0	0	0	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP10_MMP10	4	0	3	0	1	0	3	3	1	3	4	1	5	1	2	5	2	0	4	0	0	0	2	0	0	0	1	0
MMP13_MMP13	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP2_MMP2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
MMP7_MMP7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
MMP9_MMP9	0	0	13	2	6	1	3	0	2	6	6	0	2	1	4	6	0	0	0	0	4	0	9	2	0	0	1	0
MSLN_MSLN	0	3	8	8	0	7	1	5	2	3	6	0	0	0	2	13	0	6	6	2	5	2	0	7	0	0	0	0
MSMB_MSMB	1	0	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	2	0	2	0
MSN_MOES	0	0	0	0	6	4	0	0	0	0	7	0	0	0	0	5	5	2	9	0	0	0	0	0	0	0	6	0
MT-CO2_COX2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MUC1_MUC1	5	6	5	6	8	3	5	2	6	4	5	0	6	3	6	6	6	5	7	5	6	1	6	5	2	4	6	4
MUC16_MUC16	0	0	0	0	12	0	0	0	9	0	0	0	11	0	21	9	0	0	16	0	0	0	0	0	0	0	8	0
MUC2_MUC2	0	0	0	11	0	2	0	2	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
MUC4_MUC4	11	2	13	10	9	3	4	2	11	8	17	0	7	2	6	7	8	5	15	2	10	0	15	7	5	3	6	1
MUC5AC_MUC5A	102	98	114	150	5	43	89	116	58	56	67	26	83	95	15	74	48	99	63	76	57	75	34	95	42	57	81	102
